"This file will contain Card Data, and information used from the art PDF's to extract all relevant card info",,,,,,,,,,,,
"It will be used to explain rules for cards, as well as a consistent structure for code creation",,,,,,,,,,,,
,,,,,,,,,,,KEY,
CardType,CardTitle,Description,EffectType,Amount,Movement,TargetSpace,Flags/Variables,AdditionalNotes,,,Column,Description
Chance,Advance to Ceres,Move player to Ceres,Move,N/A,to Ceres,Ceres,N/A,"IF player passes GO, DO NOT collect $200",,,CardType,chance or community chest
Chance,(2)Advance & Collect,"Move player to go, collect $200",Move & Collect,$200,to Go,Go,N/A,N/A,,,CardTitle,display name of card
Chance,Advance to Eunomia,"Move player to Eunomia, collect $200 if pass Go",Move & Collect,$200,to Eunomia,Eunomia,N/A,"IF player passes GO, collect $200",,,Description,card context & details
Chance,Advance to Themis,"Move player to Themis, collect $200 if pass Go",Move & Collect,$200,to Themis,Themis,N/A,"IF player passes GO, collect $200",,,EffectType,"money (+/-), move, jail, etc"
Chance,(2)Advance to Nearest Scientific Intrument,Move player to nearest Scientific Intrument > SEE AdditionalNotes,Move & Choose,variable,(nearest) to Scientific Intrument,Scientific Intrument,boolean studied; int researchFunding; Player scientist;,IF (!studied){ buy? } else {pay researchFunding x2 TO scientist},,,Amount,(+/-) change in a players balance
Chance,Advance to Nearest Planet,Move player to nearest Planet > SEE AdditionalNotes,Move & Choose,variable,(nearest) to Planet,Planet,boolean studied; int amout = dice x10; Player scientist;,IF (!studied){ buy? } else {pay amount TO scientist},,,Movement,number of spaces moved
Chance,Go back 3 spaces,Move player -3 spaces,Move,N/A,to (currentPosition -3),(currentPosition - 3),N/A,N/A,,,TargetSpace,space name (and index)
Chance,(2)Go to Launch Pad,Move player to Jail (Launch Pad) > SEE AdditionalNotes,Move,N/A,to Launch Pad,LaunchPad,boolean inJail;,Do not pass GO/collect $200. inJail = true;,,,Flags/Variables,if special variables are needed for turn
Chance,Go to Multispectral Imager,"Move player to Multispectral Imager, collect $200 if pass Go",Move & Collect,$200,to Multispectral Imager,Multispectral Imager,N/A,"IF player passes GO, collect $200",,,AdditionalNotes,any additional card info
Community Chest,Unresolved software issues,Pay each player $50,Pay,-$50 x Players,N/A,N/A,N/A,foreach (Player) { pay 50 },,,,
Community Chest,Successfully detect magentic field,Collect $150,Collect,$150,N/A,N/A,N/A,N/A,,,,
Community Chest,Successful mission launch,Collect $200,Collect ,$200,N/A,N/A,N/A,N/A,,,,
Community Chest,Space weather disruption,Pay $50,Pay,-$50,N/A,N/A,N/A,N/A,,,,
Community Chest,Successful slingshot maneuver,Collect $50,Collect,$50,N/A,N/A,N/A,N/A,,,,
Community Chest,Successful arrival at Psyche asteroid,Collect $100,Collect,$100,N/A,N/A,N/A,N/A,,,,
Community Chest,Successfully measured gravity field,Collect $20,Collect,$20,N/A,N/A,N/A,N/A,,,,
Community Chest,Successfully characterized topography,Collect $10 / Player,Collect,$10 x Players,N/A,N/A,N/A,foreach (Player) { collect 10 },,,,
Community Chest,Successfully determined forming conditions,Collect $100,Collect,$100,N/A,N/A,N/A,N/A,,,,
Community Chest,Incomplete verification & validation,Pay $100,Pay,-$100,N/A,N/A,N/A,N/A,,,,
Community Chest,Collision with debris,Pay $50,Pay,-$50,N/A,N/A,N/A,N/A,,,,
Community Chest,Successfully determine light elements,Collect $25,Collect,$25,N/A,N/A,N/A,N/A,,,,
Community Chest,Pay to clean up data,"For each Data Point owned by Player, pay $40. For each Discovery owned by Player, pay $115",Pay Per Item,variable,N/A,N/A,int dataPointsOwned; int discoveriesOwned;,foreach (dataPointsOwned) { pay 40 } foreach (discoveriesOwned) { pay 115 },,,,
Community Chest,Successfully determined surface age,Collect $10,Collect,$10,N/A,N/A,N/A,N/A,,,,
Community Chest,Successfully determine core,Collect $100,Collect,$100,N/A,N/A,N/A,N/A,,,,
Community Chest,Submit your article to a journal,"For each Data Point owned by Player, pay $25. For each Discovery owned by Player, pay $100",Pay Per Item,variable,N/A,N/A,int dataPointsOwned; int discoveriesOwned;,foreach (dataPointsOwned) { pay 25 } foreach (discoveriesOwned) { pay 100 },,,,
Community Chest,Instument Malfunction,Pay $15,Pay,-$15,N/A,N/A,N/A,N/A,,,,
Community Chest,We've got Taters,Collect $50,Collect,$50,N/A,N/A,N/A,N/A,,,,
Community Chest,(2)Go for launch,Get Out Of Jail (Launch Pad) Free Card,Utility,N/A,N/A,N/A,boolean inJail; boolean useGetOutOfJailFree;,IF (inJail) { useGetOutOfJailFree? },,,,
